"日期","收市","開市","高","低","成交量","更改%"
"2016年10月12日","4.93","4.95","4.95","4.92","42.50M","-0.60%"
"2016年10月11日","4.96","4.96","4.99","4.94","78.43M","0.20%"
"2016年10月10日","4.95","4.93","4.97","4.92","100.23M","2.06%"
"2016年9月30日","4.85","4.83","4.86","4.82","28.08M","0.21%"
"2016年9月29日","4.84","4.81","4.86","4.80","61.16M","1.68%"
"2016年9月28日","4.76","4.80","4.80","4.76","35.21M","-0.63%"
"2016年9月27日","4.79","4.79","4.82","4.77","36.56M","0.00%"
"2016年9月26日","4.79","4.84","4.85","4.78","39.78M","-1.24%"
"2016年9月23日","4.85","4.85","4.87","4.84","33.81M","0.41%"
"2016年9月22日","4.83","4.79","4.86","4.78","61.75M","1.26%"
"2016年9月21日","4.77","4.78","4.79","4.74","36.17M","-1.65%"
"2016年9月20日","4.85","4.86","4.87","4.83","38.81M","-0.21%"
"2016年9月19日","4.86","4.82","4.87","4.82","50.46M","-0.21%"
"2016年9月14日","4.87","4.89","4.90","4.84","60.37M","-0.61%"
"2016年9月13日","4.90","4.92","4.93","4.88","41.25M","-0.61%"
"2016年9月12日","4.93","4.93","4.96","4.85","125.84M","-1.00%"
"2016年9月9日","4.98","5.00","5.01","4.97","51.57M","-0.20%"
"2016年9月8日","4.99","5.00","5.00","4.97","31.86M","0.00%"
"2016年9月7日","4.99","4.99","5.01","4.98","50.46M","-0.20%"
"2016年9月6日","5.00","4.97","5.01","4.97","62.68M","0.20%"
"2016年9月5日","4.99","4.97","5.00","4.95","71.77M","0.20%"
"2016年9月2日","4.98","4.96","4.98","4.94","50.99M","0.00%"
"2016年9月1日","4.98","4.99","5.00","4.96","42.14M","-0.60%"
"2016年8月31日","5.01","4.99","5.01","4.98","75.04M","0.20%"
"2016年8月30日","5.00","4.95","5.02","4.93","79.31M","1.01%"
"2016年8月29日","4.95","4.94","4.95","4.92","40.10M","-0.20%"
"2016年8月26日","4.96","4.95","4.96","4.93","38.56M","0.40%"
"2016年8月25日","4.94","4.95","4.96","4.91","55.41M","-0.40%"
"2016年8月24日","4.96","4.95","4.97","4.93","47.74M","0.20%"
"2016年8月23日","4.95","4.94","4.96","4.93","50.99M","0.41%"
"2016年8月22日","4.93","4.98","4.98","4.92","52.51M","-1.00%"
"2016年8月19日","4.98","4.99","5.01","4.96","64.73M","0.00%"
"2016年8月18日","4.98","5.00","5.02","4.96","46.54M","-0.60%"
"2016年8月17日","5.01","5.02","5.05","4.98","71.85M","0.00%"
"2016年8月16日","5.01","5.01","5.05","4.99","114.14M","0.20%"
"2016年8月15日","5.00","4.92","5.03","4.91","161.62M","1.63%"
"2016年8月12日","4.92","4.86","4.92","4.85","91.36M","1.44%"
"2016年8月11日","4.85","4.87","4.90","4.84","51.01M","-0.41%"
"2016年8月10日","4.87","4.87","4.89","4.86","38.66M","-0.20%"
"2016年8月9日","4.88","4.82","4.90","4.80","78.68M","1.04%"
"2016年8月8日","4.83","4.82","4.83","4.78","31.12M","0.42%"
"2016年8月5日","4.81","4.79","4.82","4.77","38.31M","0.42%"
"2016年8月4日","4.79","4.79","4.80","4.76","30.82M","0.21%"
"2016年8月3日","4.78","4.77","4.79","4.74","38.68M","-0.21%"
"2016年8月2日","4.79","4.77","4.79","4.76","30.24M","0.00%"
"2016年8月1日","4.79","4.79","4.80","4.76","49.51M","0.21%"
"2016年7月29日","4.78","4.80","4.82","4.78","46.19M","-0.62%"
"2016年7月28日","4.81","4.82","4.83","4.80","61.60M","-0.82%"
"2016年7月27日","4.85","4.84","4.87","4.77","115.21M","0.00%"
"2016年7月26日","4.85","4.80","4.85","4.80","44.15M","0.62%"
"2016年7月25日","4.82","4.81","4.82","4.79","36.92M","0.42%"
"2016年7月22日","4.80","4.84","4.84","4.79","52.55M","-0.83%"
"2016年7月21日","4.84","4.83","4.87","4.82","54.24M","0.21%"
"2016年7月20日","4.83","4.84","4.85","4.82","28.71M","0.00%"
"2016年7月19日","4.83","4.84","4.85","4.80","57.36M","-0.41%"
"2016年7月18日","4.85","4.87","4.90","4.83","85.93M","-0.61%"
"2016年7月15日","4.88","4.88","4.90","4.86","57.05M","0.21%"
"2016年7月14日","4.87","4.87","4.89","4.84","62.16M","-0.20%"
"2016年7月13日","4.88","4.87","4.91","4.86","99.07M","0.41%"
"2016年7月12日","4.86","4.79","4.87","4.79","122.41M","1.67%"
"2016年7月11日","4.78","4.75","4.82","4.75","87.76M","0.84%"
"2016年7月8日","4.74","4.78","4.78","4.73","55.87M","-1.25%"
"2016年7月7日","4.80","4.78","4.81","4.77","67.93M","0.21%"
"2016年7月6日","4.79","4.79","4.79","4.74","71.97M","-0.42%"
"2016年7月5日","4.81","4.77","4.82","4.74","92.49M","1.26%"
"2016年7月4日","4.75","4.70","4.77","4.70","90.97M","1.06%"
"2016年7月1日","4.70","4.71","4.73","4.69","35.27M","-0.42%"
"2016年6月30日","4.72","4.71","4.73","4.68","61.96M","0.85%"
"2016年6月29日","4.68","4.63","4.70","4.62","84.09M","1.08%"
"2016年6月28日","4.63","4.60","4.63","4.58","33.70M","0.00%"
"2016年6月27日","4.63","4.60","4.63","4.58","52.25M","0.65%"
"2016年6月24日","4.60","4.65","4.68","4.53","81.60M","-2.13%"
"2016年6月23日","4.70","4.72","4.73","4.69","44.95M","-0.63%"
"2016年6月22日","4.73","4.69","4.74","4.69","46.14M","0.85%"
"2016年6月21日","4.69","4.71","4.75","4.69","55.29M","-0.21%"
"2016年6月20日","4.70","4.71","4.72","4.67","41.70M","0.00%"
"2016年6月17日","4.70","4.69","4.72","4.68","43.79M","0.43%"
"2016年6月16日","4.68","4.71","4.73","4.67","61.65M","-1.27%"
"2016年6月15日","4.74","4.67","4.75","4.66","82.49M","0.42%"
"2016年6月14日","4.72","4.71","4.74","4.70","47.58M","0.00%"
"2016年6月13日","4.72","4.81","4.81","4.70","72.02M","-2.88%"
"2016年6月8日","4.86","4.81","4.87","4.80","109.35M","1.25%"
"2016年6月7日","4.80","4.80","4.82","4.78","46.15M","0.21%"
"2016年6月6日","4.79","4.81","4.82","4.78","42.03M","-0.42%"
"2016年6月3日","4.81","4.82","4.83","4.79","78.45M","-0.21%"
"2016年6月2日","4.82","4.82","4.83","4.78","50.54M","-0.21%"
"2016年6月1日","4.83","4.83","4.84","4.80","64.48M","0.00%"
"2016年5月31日","4.83","4.74","4.84","4.73","130.44M","1.68%"
"2016年5月30日","4.75","4.73","4.77","4.72","56.73M","0.21%"
"2016年5月27日","4.74","4.74","4.75","4.71","35.84M","-0.42%"
"2016年5月26日","4.76","4.71","4.77","4.71","58.18M","1.06%"
"2016年5月25日","4.71","4.68","4.72","4.68","61.23M","0.86%"
"2016年5月24日","4.67","4.68","4.69","4.61","48.99M","-0.64%"
"2016年5月23日","4.70","4.69","4.72","4.67","37.04M","0.21%"
"2016年5月20日","4.69","4.66","4.70","4.65","26.55M","0.21%"
"2016年5月19日","4.68","4.69","4.71","4.65","46.20M","-0.64%"
"2016年5月18日","4.71","4.74","4.77","4.65","93.60M","-0.84%"
"2016年5月17日","4.75","4.69","4.77","4.68","101.55M","1.71%"
"2016年5月16日","4.67","4.61","4.68","4.61","57.46M","0.65%"
"2016年5月13日","4.64","4.62","4.69","4.60","84.95M","0.43%"
"2016年5月12日","4.62","4.63","4.64","4.58","65.71M","-0.43%"
"2016年5月11日","4.64","4.66","4.69","4.62","55.99M","-0.22%"
"2016年5月10日","4.65","4.61","4.67","4.61","79.34M","0.22%"
"2016年5月9日","4.64","4.71","4.72","4.57","141.67M","-1.49%"
"2016年5月6日","4.71","4.80","4.81","4.71","104.04M","-1.88%"
"2016年5月5日","4.80","4.82","4.82","4.77","105.96M","-0.41%"
"2016年5月4日","4.82","4.81","4.84","4.80","104.33M","-0.62%"
"2016年5月3日","4.85","4.85","4.94","4.79","251.73M","-0.61%"
"2016年4月29日","4.88","4.93","4.95","4.85","102.57M","-1.21%"
"2016年4月28日","4.94","4.96","4.98","4.90","68.81M","0.20%"
