"日期","收市","開市","高","低","成交量","更改%"
"2015年8月27日","4.75","4.63","4.77","4.56","300.11M","3.94%"
"2015年8月26日","4.57","4.58","4.70","4.37","414.96M","1.56%"
"2015年8月25日","4.50","4.81","4.96","4.49","482.49M","-10.00%"
"2015年8月24日","5.00","5.39","5.55","4.93","559.80M","-8.93%"
"2015年8月21日","5.49","5.55","5.68","5.45","266.37M","-1.79%"
"2015年8月20日","5.59","5.71","5.74","5.59","252.75M","-3.29%"
"2015年8月19日","5.78","5.73","5.81","5.56","357.38M","-0.86%"
"2015年8月18日","5.83","6.03","6.13","5.82","464.39M","-3.32%"
"2015年8月17日","6.03","6.06","6.06","5.98","219.73M","-0.66%"
"2015年8月14日","6.07","6.06","6.14","6.05","249.34M","-0.16%"
"2015年8月13日","6.08","6.04","6.09","5.95","213.96M","0.66%"
"2015年8月12日","6.04","6.03","6.12","6.02","218.50M","-1.31%"
"2015年8月11日","6.12","6.10","6.21","6.03","373.68M","0.16%"
"2015年8月10日","6.11","5.87","6.14","5.86","429.26M","4.44%"
"2015年8月7日","5.85","5.79","5.88","5.78","188.67M","1.74%"
"2015年8月6日","5.75","5.75","5.82","5.72","153.67M","-1.03%"
"2015年8月5日","5.81","5.90","5.93","5.78","219.00M","-2.02%"
"2015年8月4日","5.93","5.80","5.94","5.75","296.69M","2.60%"
"2015年8月3日","5.78","5.95","5.95","5.66","406.63M","-3.67%"
"2015年7月31日","6.00","6.12","6.16","5.91","272.60M","-2.60%"
"2015年7月30日","6.16","6.21","6.31","6.15","293.80M","-1.28%"
"2015年7月29日","6.24","6.13","6.26","6.06","320.09M","1.46%"
"2015年7月28日","6.15","6.08","6.46","6.01","528.12M","-2.38%"
"2015年7月27日","6.30","6.90","6.97","6.29","604.79M","-10.00%"
"2015年7月24日","7.00","7.01","7.13","6.98","486.69M","-0.28%"
"2015年7月23日","7.02","6.98","7.04","6.96","373.85M","0.43%"
"2015年7月22日","6.99","7.00","7.08","6.97","416.56M","-0.57%"
"2015年7月21日","7.03","7.06","7.11","6.99","483.91M","-1.68%"
"2015年7月20日","7.15","7.03","7.26","6.99","710.11M","0.85%"
"2015年7月17日","7.09","7.01","7.17","6.98","568.72M","-0.14%"
"2015年7月16日","7.10","7.31","7.35","6.90","823.06M","-2.87%"
"2015年7月15日","7.31","6.92","7.37","6.88","1.19B","4.58%"
"2015年7月14日","6.99","7.09","7.16","6.85","616.08M","-2.78%"
"2015年7月13日","7.19","7.21","7.37","7.03","878.00M","-2.18%"
"2015年7月10日","7.35","6.95","7.70","6.81","1.39B","2.94%"
"2015年7月9日","7.14","6.40","7.27","6.05","1.35B","6.25%"
"2015年7月8日","6.72","6.72","7.35","6.72","1.28B","-10.04%"
"2015年7月7日","7.47","7.20","7.88","7.10","1.42B","1.63%"
"2015年7月6日","7.35","7.15","7.40","6.90","1.65B","8.89%"
"2015年7月3日","6.75","6.94","7.23","6.64","802.83M","-5.99%"
"2015年7月2日","7.18","6.82","7.29","6.36","1.12B","6.21%"
"2015年7月1日","6.76","7.00","7.07","6.75","472.49M","-4.38%"
"2015年6月30日","7.07","6.70","7.07","6.56","666.69M","4.43%"
"2015年6月29日","6.77","6.79","6.98","6.21","739.88M","1.80%"
"2015年6月26日","6.65","6.90","7.13","6.36","674.37M","-5.27%"
"2015年6月25日","7.02","7.24","7.30","6.99","542.53M","-3.70%"
"2015年6月24日","7.29","7.05","7.34","7.00","651.39M","3.85%"
"2015年6月23日","7.02","6.84","7.06","6.55","472.91M","2.48%"
"2015年6月19日","6.85","7.14","7.25","6.80","530.45M","-6.29%"
"2015年6月18日","7.31","7.55","7.63","7.30","443.92M","-3.94%"
"2015年6月17日","7.61","7.49","7.63","7.37","431.08M","2.42%"
"2015年6月16日","7.43","7.61","7.67","7.36","553.31M","-3.63%"
"2015年6月15日","7.71","7.92","7.99","7.70","651.05M","-2.53%"
"2015年6月12日","7.91","7.88","7.94","7.81","594.16M","0.76%"
"2015年6月11日","7.85","7.95","7.95","7.77","542.89M","-1.13%"
"2015年6月10日","7.94","7.96","8.00","7.88","625.09M","-1.12%"
"2015年6月9日","8.03","8.10","8.12","7.90","981.79M","-1.83%"
"2015年6月8日","8.18","7.80","8.22","7.72","1.30B","5.28%"
"2015年6月5日","7.77","7.70","7.80","7.58","945.23M","1.83%"
"2015年6月4日","7.63","7.47","7.64","7.20","731.82M","2.14%"
"2015年6月3日","7.47","7.50","7.63","7.39","523.18M","-0.27%"
"2015年6月2日","7.49","7.48","7.52","7.34","585.03M","-0.13%"
"2015年6月1日","7.50","7.21","7.51","7.16","569.08M","4.02%"
"2015年5月29日","7.21","7.31","7.40","7.08","664.31M","-2.17%"
"2015年5月28日","7.37","8.06","8.06","7.29","1.09B","-9.01%"
"2015年5月27日","8.10","7.94","8.16","7.91","859.66M","2.14%"
"2015年5月26日","7.93","7.95","7.98","7.74","764.23M","0.51%"
"2015年5月25日","7.89","7.64","7.93","7.59","840.87M","3.27%"
"2015年5月22日","7.64","7.39","7.66","7.36","793.64M","4.23%"
"2015年5月21日","7.33","7.32","7.34","7.17","433.78M","0.27%"
"2015年5月20日","7.31","7.35","7.45","7.29","529.58M","-0.54%"
"2015年5月19日","7.35","7.09","7.36","7.08","518.64M","3.38%"
"2015年5月18日","7.11","7.22","7.24","7.08","445.26M","-2.74%"
"2015年5月15日","7.31","7.52","7.56","7.27","530.66M","-4.07%"
"2015年5月14日","7.62","7.48","7.70","7.36","643.94M","1.06%"
"2015年5月13日","7.54","7.75","7.75","7.49","635.52M","-2.71%"
"2015年5月12日","7.75","7.75","7.80","7.67","581.85M","0.26%"
"2015年5月11日","7.73","7.57","7.74","7.47","721.89M","1.98%"
"2015年5月8日","7.58","7.56","7.59","7.35","596.01M","1.20%"
"2015年5月7日","7.49","7.70","7.74","7.45","579.66M","-3.60%"
"2015年5月6日","7.77","7.86","8.10","7.63","741.95M","-1.89%"
"2015年5月5日","7.92","8.20","8.56","7.90","1.03B","-3.06%"
"2015年5月4日","8.17","8.08","8.21","7.91","733.86M","0.62%"
"2015年4月30日","8.12","8.29","8.36","8.07","923.69M","-2.17%"
"2015年4月29日","8.30","8.50","8.50","8.12","1.15B","-4.38%"
"2015年4月28日","8.68","8.70","9.27","8.47","2.64B","1.40%"
"2015年4月27日","8.56","8.05","8.56","7.95","1.22B","10.03%"
"2015年4月24日","7.78","7.46","8.11","7.41","1.30B","2.64%"
"2015年4月23日","7.58","7.48","7.76","7.40","1.05B","1.74%"
"2015年4月22日","7.45","7.30","7.48","7.24","889.24M","2.48%"
"2015年4月21日","7.27","7.17","7.34","7.11","688.95M","1.82%"
"2015年4月20日","7.14","7.26","7.48","7.10","1.38B","-2.86%"
"2015年4月17日","7.35","7.21","7.48","7.11","1.62B","4.70%"
"2015年4月16日","7.02","6.80","7.10","6.76","1.11B","3.39%"
"2015年4月15日","6.79","6.76","6.94","6.65","876.73M","0.74%"
"2015年4月14日","6.74","6.80","6.80","6.69","649.37M","-1.17%"
"2015年4月13日","6.82","6.74","6.85","6.71","834.71M","1.49%"
"2015年4月10日","6.72","6.66","6.73","6.63","667.06M","0.60%"
"2015年4月9日","6.68","6.68","6.78","6.55","852.47M","-0.74%"
"2015年4月8日","6.73","6.69","6.79","6.55","1.16B","0.90%"
"2015年4月7日","6.67","6.49","6.68","6.47","1.06B","3.41%"
"2015年4月3日","6.45","6.43","6.46","6.39","536.57M","-0.46%"
"2015年4月2日","6.48","6.52","6.56","6.42","671.38M","0.15%"
"2015年4月1日","6.47","6.38","6.50","6.37","590.57M","0.94%"
"2015年3月31日","6.41","6.52","6.58","6.40","828.59M","-1.23%"
"2015年3月30日","6.49","6.35","6.51","6.34","858.38M","1.88%"
"2015年3月27日","6.37","6.46","6.48","6.34","508.85M","-1.09%"
"2015年3月26日","6.44","6.25","6.46","6.20","972.99M","2.88%"
"2015年3月25日","6.26","6.36","6.37","6.23","546.34M","-1.73%"
"2015年3月24日","6.37","6.45","6.47","6.27","815.50M","-1.09%"
"2015年3月23日","6.44","6.36","6.44","6.31","1.02B","0.31%"
"2015年3月20日","6.42","6.40","6.48","6.34","694.90M","0.00%"
"2015年3月19日","6.42","6.41","6.54","6.36","689.58M","0.00%"
"2015年3月18日","6.42","6.34","6.43","6.28","742.75M","1.10%"
"2015年3月17日","6.35","6.26","6.35","6.22","801.71M","1.93%"
"2015年3月16日","6.23","6.18","6.24","6.13","512.67M","0.97%"
"2015年3月13日","6.17","6.17","6.27","6.14","462.14M","0.33%"
"2015年3月12日","6.15","6.08","6.20","6.03","492.43M","1.49%"
"2015年3月11日","6.06","6.03","6.15","6.01","317.36M","0.17%"
"2015年3月10日","6.05","6.10","6.10","6.02","278.33M","-0.98%"
"2015年3月9日","6.11","6.00","6.12","5.95","456.85M","2.35%"
"2015年3月6日","5.97","5.94","6.02","5.92","232.01M","0.34%"
"2015年3月5日","5.95","6.01","6.05","5.90","404.84M","-2.14%"
"2015年3月4日","6.08","6.03","6.14","5.97","389.00M","0.66%"
"2015年3月3日","6.04","6.21","6.22","6.01","483.64M","-3.36%"
"2015年3月2日","6.25","6.28","6.28","6.18","530.49M","-0.95%"
"2015年2月27日","6.31","6.10","6.40","6.08","771.48M","2.77%"
"2015年2月26日","6.14","6.06","6.14","5.98","494.12M","0.66%"
"2015年2月25日","6.10","6.06","6.19","6.02","919.77M","3.39%"
"2015年2月17日","5.90","5.88","5.92","5.87","248.45M","0.51%"
"2015年2月16日","5.87","5.85","5.89","5.81","239.46M","0.51%"
"2015年2月13日","5.84","5.85","5.92","5.82","415.02M","0.17%"
"2015年2月12日","5.83","5.70","5.86","5.64","454.10M","2.28%"
"2015年2月11日","5.70","5.74","5.74","5.67","333.18M","-0.70%"
"2015年2月10日","5.74","5.63","5.75","5.61","499.06M","1.06%"
"2015年2月9日","5.68","5.62","5.72","5.55","457.01M","-0.18%"
"2015年2月6日","5.69","5.81","5.82","5.65","464.73M","-2.40%"
"2015年2月5日","5.83","6.03","6.03","5.82","421.41M","-1.52%"
"2015年2月4日","5.92","6.03","6.11","5.91","481.23M","-1.50%"
"2015年2月3日","6.01","5.93","6.02","5.88","519.82M","2.39%"
"2015年2月2日","5.87","5.98","6.00","5.85","441.45M","-2.81%"
"2015年1月30日","6.04","6.14","6.17","6.02","502.45M","-1.95%"
"2015年1月29日","6.16","6.20","6.21","6.05","604.76M","-2.99%"
"2015年1月28日","6.35","6.43","6.46","6.31","307.17M","-2.16%"
"2015年1月27日","6.49","6.67","6.72","6.38","394.55M","-2.70%"
"2015年1月26日","6.67","6.58","6.70","6.52","281.93M","1.06%"
"2015年1月23日","6.60","6.60","6.82","6.55","428.53M","0.15%"
"2015年1月22日","6.59","6.58","6.64","6.52","327.29M","0.00%"
"2015年1月21日","6.59","6.31","6.70","6.24","506.85M","4.44%"
"2015年1月20日","6.31","6.27","6.44","6.19","405.84M","1.12%"
"2015年1月19日","6.24","6.53","6.74","6.24","588.67M","-9.96%"
"2015年1月16日","6.93","6.85","7.04","6.83","493.61M","0.43%"
"2015年1月15日","6.90","6.63","6.95","6.56","433.88M","5.02%"
"2015年1月14日","6.57","6.58","6.66","6.51","244.59M","-0.30%"
"2015年1月13日","6.59","6.56","6.73","6.50","291.01M","0.30%"
"2015年1月12日","6.57","6.64","6.73","6.52","342.11M","-2.52%"
"2015年1月9日","6.74","6.78","7.03","6.64","603.20M","-1.61%"
"2015年1月8日","6.85","7.09","7.41","6.83","819.09M","-4.46%"
"2015年1月7日","7.17","6.91","7.26","6.76","787.32M","2.43%"
"2015年1月6日","7.00","7.18","7.22","6.81","1.09B","-1.96%"
"2015年1月5日","7.14","6.59","7.14","6.45","1.19B","10.02%"
"2014年12月31日","6.49","6.29","6.51","6.22","696.01M","3.67%"
"2014年12月30日","6.26","6.24","6.35","6.15","427.39M","0.16%"
"2014年12月29日","6.25","6.38","6.50","6.19","734.61M","1.30%"
"2014年12月26日","6.17","6.00","6.19","5.95","515.09M","2.66%"
"2014年12月25日","6.01","5.88","6.01","5.84","390.66M","2.56%"
"2014年12月24日","5.86","6.06","6.10","5.80","447.01M","-2.98%"
"2014年12月23日","6.04","6.27","6.31","6.01","493.23M","-4.88%"
"2014年12月22日","6.35","6.28","6.66","6.25","1.03B","2.09%"
"2014年12月19日","6.22","5.94","6.33","5.85","720.19M","4.01%"
"2014年12月18日","5.98","6.05","6.13","5.94","485.26M","-0.66%"
"2014年12月17日","6.02","5.91","6.07","5.82","629.75M","2.03%"
"2014年12月16日","5.90","5.73","5.90","5.70","522.87M","2.61%"
"2014年12月15日","5.75","5.75","5.76","5.65","308.96M","-0.17%"
"2014年12月12日","5.76","5.75","5.84","5.72","358.55M","-0.17%"
"2014年12月11日","5.77","5.79","5.82","5.68","461.94M","-2.04%"
"2014年12月10日","5.89","5.85","5.95","5.66","564.99M","-0.17%"
"2014年12月9日","5.90","6.28","6.48","5.79","1.23B","-8.24%"
"2014年12月8日","6.43","6.30","6.58","6.15","1.16B","-1.83%"
"2014年12月5日","6.55","6.22","6.78","6.00","1.47B","4.80%"
"2014年12月4日","6.25","5.70","6.25","5.58","848.21M","10.04%"
"2014年12月3日","5.68","5.69","5.91","5.54","586.16M","0.89%"
"2014年12月2日","5.63","5.41","5.65","5.34","502.77M","4.07%"
"2014年12月1日","5.41","5.41","5.57","5.37","454.83M","0.56%"
"2014年11月28日","5.38","5.23","5.42","5.21","444.42M","1.89%"
"2014年11月27日","5.28","5.29","5.33","5.22","215.19M","0.00%"
"2014年11月26日","5.28","5.17","5.28","5.16","271.12M","1.73%"
"2014年11月25日","5.19","5.16","5.20","5.13","141.99M","0.19%"
"2014年11月24日","5.18","5.15","5.20","5.12","152.96M","1.17%"
"2014年11月21日","5.12","5.10","5.12","5.06","86.49M","0.39%"
"2014年11月20日","5.10","5.07","5.10","5.06","55.19M","0.39%"
"2014年11月19日","5.08","5.09","5.11","5.06","72.80M","-0.59%"
"2014年11月18日","5.11","5.18","5.19","5.09","113.04M","-1.73%"
"2014年11月17日","5.20","5.25","5.27","5.19","97.13M","-0.95%"
"2014年11月14日","5.25","5.30","5.30","5.21","111.36M","-1.13%"
"2014年11月13日","5.31","5.29","5.36","5.27","172.48M","0.38%"
"2014年11月12日","5.29","5.28","5.30","5.23","152.18M","-0.56%"
"2014年11月11日","5.32","5.26","5.43","5.24","354.79M","1.33%"
"2014年11月10日","5.25","5.17","5.26","5.14","162.76M","1.55%"
"2014年11月7日","5.17","5.16","5.21","5.12","110.54M","0.19%"
"2014年11月6日","5.16","5.18","5.20","5.15","74.53M","-0.19%"
"2014年11月5日","5.17","5.22","5.23","5.16","88.37M","-1.15%"
"2014年11月4日","5.23","5.22","5.25","5.18","110.75M","-0.38%"
"2014年11月3日","5.25","5.27","5.27","5.23","117.74M","-0.38%"
"2014年10月31日","5.27","5.17","5.29","5.16","206.05M","1.93%"
"2014年10月30日","5.17","5.13","5.22","5.11","136.53M","0.39%"
"2014年10月29日","5.15","5.09","5.16","5.06","93.52M","1.18%"
"2014年10月28日","5.09","5.02","5.09","5.01","67.07M","1.60%"
"2014年10月27日","5.01","5.04","5.04","4.99","56.09M","-0.79%"
"2014年10月24日","5.05","5.07","5.09","5.04","39.99M","-0.39%"
"2014年10月23日","5.07","5.11","5.12","5.05","68.73M","-1.17%"
"2014年10月22日","5.13","5.13","5.15","5.11","50.48M","0.39%"
"2014年10月21日","5.11","5.16","5.17","5.11","52.18M","-0.97%"
"2014年10月20日","5.16","5.15","5.17","5.14","48.71M","0.19%"
"2014年10月17日","5.15","5.19","5.19","5.12","79.16M","-0.77%"
"2014年10月16日","5.19","5.17","5.24","5.16","78.87M","-0.19%"
"2014年10月15日","5.20","5.19","5.21","5.16","67.81M","0.00%"
"2014年10月14日","5.20","5.20","5.24","5.18","58.59M","0.00%"
"2014年10月13日","5.20","5.25","5.26","5.16","106.49M","-1.52%"
"2014年10月10日","5.28","5.29","5.32","5.26","75.51M","-0.56%"
"2014年10月9日","5.31","5.29","5.34","5.27","108.53M","0.57%"
"2014年10月8日","5.28","5.31","5.32","5.22","105.87M","-0.56%"
"2014年9月30日","5.31","5.32","5.32","5.27","79.99M","-0.19%"
"2014年9月29日","5.32","5.31","5.35","5.28","80.41M","0.19%"
"2014年9月26日","5.31","5.32","5.33","5.28","52.05M","-0.56%"
"2014年9月25日","5.34","5.33","5.37","5.32","97.38M","0.19%"
"2014年9月24日","5.33","5.26","5.33","5.22","92.11M","-0.37%"
"2014年9月23日","5.35","5.31","5.35","5.27","73.79M","0.38%"
"2014年9月22日","5.33","5.42","5.42","5.29","118.78M","-1.84%"
"2014年9月19日","5.43","5.43","5.44","5.38","65.31M","0.18%"
"2014年9月18日","5.42","5.41","5.46","5.38","81.15M","0.00%"
"2014年9月17日","5.42","5.45","5.45","5.38","89.62M","-0.73%"
"2014年9月16日","5.46","5.57","5.57","5.43","185.16M","-2.50%"
